token,frequency
thủ,966
thủ tục,896
cấp,818
. cấp,579
giấy,578
ăn,457
nhận,446
ở,436
của,426
cô,423
công,422
thu,389
quy,380
đi,353
hoạt động,348
phép,332
án,325
với,323
ký,320
do,313
đăng,312
đăng ký,309
in,297
điều,291
đối với,279
chứng nhận,275
sở,268
giấy phép,266
và,258
ương,257
lại,248
ghi,247
thuộc,243
chức,229
giá,229
hợp,228
nước,223
nướ,223
trường,219
đổi,217
tổ,212
cá,208
quyền,208
cho,207
tỉnh,203
e,199
có,194
tổ chức,188
tại,185
thôn,184
trong,181
cơ sở,178
thông,175
thành,174
ngoài,169
địa,168
chỉ,162
lập,162
đầu,161
giải,154
người,153
kinh doanh,153
điều kiện,152
đủ,150
thẩm quyền,148
dự,147
quyết,147
trung,141
nước ngoài,139
họ,129
là,125
thay đổi,125
học,121
đầu tư,120
chi,120
trường hợp,119
hộ,119
hạn,117
hoặc,117
ủy,116
nhà,112
không,112
sử dụng,110
các,109
doanh nghiệp,108
xã,106
hai,106
nghề,104
chỉnh,103
báo,101
nam,100
điều chỉnh,99
việt,99
thành lập,98
theo,95
trình,93
chuyển,93
phòng,92
viên,92
dịch,91
thi,91
qua,91
dự án,87
hủy,86
giải quyết,86
được,85
hội,85
khai,85
nội dung,84
về,83
đã,82
bán,81
quản,79
thông báo,79
việc,79
thủy,77
hiện,77
đất,76
tài sản,75
diện,75
chủ,74
hỗ trợ,74
ubnd,73
khi,72
bị,71
xây dựng,69
ra,69
tôn giáo,68
mộ,68
bổ sung,68
pháp,67
chính,67
một,67
cá nhân,66
văn phòng,66
bà,65
khác,65
lao động,63
làm,63
y tế,63
phẩm,62
giáo dục,62
-,62
công nhận,61
thực hiện,61
giao,60
cơ quan,60
quản lý,60
quyết định,60
bản,59
hành nghề,59
nhập,59
trên,58
khám,58
công trình,58
trự,58
địa bàn,57
cho phép,56
gia hạn,56
vào,56
tiếp,56
đại diện,55
dịch vụ,55
xác nhận,54
số,54
huyện,54
chuyên,53
ban,53
lần,50
vốn,50
công bố,49
bệnh,49
sửa,49
điểm,49
khu,49
xe,49
khai thác,49
hưởng,47
trung tâm,47
luật,47
thuốc,47
thẩm định,47
chứng chỉ,46
công ty,46
liên,45
phương tiện,45
chấp thuận,45
sản xuất,45
hóa,45
sinh,45
công lập,45
trực thuộc,45
quy định,43
từ,43
thể thao,43
nội địa,42
tặng,42
thứ,42
duyệt,41
chia,41
tập,41
xã hội,41
hàng,41
gia đình,40
chế độ,40
sở hữu,39
sửa đổi,39
bằng,39
chi nhánh,39
thành phố,38
nhà ở,38
bán lẻ,38
phê duyệt,38
chữa,37
khoản,37
trung học,37
cả,37
hiệu,37
mua,37
hợp tác,36
chấm dứt,36
như,36
lượn,35
tạo,35
gắn,35
công nghệ,35
khoa học,35
nhà nước,35
bộ,35
giúp,35
biển,35
nhân dân,34
nghề nghiệp,34
đơn,34
đề nghị,34
trung cấp,34
xét,34
an toàn,34
đa,33
trợ cấp,33
sáp nhập,33
nuôi,33
giám định,33
thủy sản,32
trợ giúp,32
tải,32
giải thể,32
liền,32
thuê,32
môn,32
đến,31
sự,31
trung ương,31
phần,31
phổ thông,31
vận tải,31
để,31
thông tin,31
địa phương,31
chất,30
tách,30
hợp tác xã,30
địa điểm,30
dưới,29
ngành,29
điện,29
rách,29
trở,29
ủy ban,29
tín ngưỡng,29
tiếp nhận,28
mất,28
nhất,28
chủ trương,28
trẻ,28
ưu đãi,28
tuyến,28
hạng,27
kỹ thuật,27
đấu,26
môi trường,26
sản phẩm,26
đường,26
hình thức,25
hợp đồng,25
tranh,25
dù,25
nhà đầu tư,25
trạm,25
thục,25
mà,25
chuẩn,25
hỏng,24
đối tượng,24
tư thục,24
chủ tịch,24
năm,24
dùng,24
đào,24
chiến,24
tư vấn,24
thu hồi,24
bảo vệ,24
tiền,23
trách nhiệm,23
chuyển đổi,23
ảnh,23
phạm vi,23
mầm,23
thương mại,23
khách,23
dưỡng,23
tử,23
tự,23
mầm non,22
đào tạo,22
viên chức,22
kết quả,22
chuyển nhượng,22
ngày,22
máy,22
rồng,21
nông,21
tuyển,21
tên,21
mẫu,21
trung học phổ thông,21
du lịch,21
thành viên,21
khen,21
cổ phần,21
công nghiệp,20
đạt,20
chứng thực,20
thẻ,20
con,20
sau,20
thương nhân,20
đang,20
đơn vị,20
mạng,20
mục đích,20
khoáng sản,20
hợp nhất,20
trồng,20
góp,20
. hợp nhất,20
đánh giá,20
kháng chiến,19
quỹ,19
lái,19
pháp luật,19
công chứng,19
sách,19
loại,19
hư hỏng,19
tổn,19
sang,19
bạo lực,19
cử,19
hội đồng,19
phục vụ,18
xác định,18
đoạn,18
quyền sở hữu,18
hồ sơ,18
đô thị,18
phát triển,18
cộng đồng,18
tháng,18
nghị định,17
văn bản,17
tượng đài,17
khu vực,17
đấu giá,17
nhiệm vụ,17
phi,17
sao,17
tranh hoành tráng,17
giai đoạn,17
nđ-cp,17
hữu hạn,17
trụ sở,17
thương binh,17
hòa,17
trang,17
quy mô,16
xử lý,16
hành chính,16
mới,16
động vật,16
đặc biệt,16
điện tử,16
yếu tố,16
quảng cáo,16
quốc gia,16
nạn nhân,16
bến,16
phải,16
tạm,16
lái xe,15
liên hiệp,15
sư,15
tính,15
liệt sĩ,15
chưa,15
cung cấp,15
nhu cầu,15
nơi,15
mỹ,15
yêu cầu,15
giấy khen,15
hợp danh,15
lpg,15
trở lại,15
nhập khẩu,15
hòa giải,15
tư nhân,15
nghiên cứu,15
nạp,15
kinh phí,15
cao,14
nguyên liệu,14
bản sao,14
danh mục,14
công dân,14
trả,14
tư pháp,14
chuyên dùng,14
trừ,14
trung học cơ sở,14
riêng,14
tổng,14
thân nhân,14
chăm sóc,14
hàng hóa,14
tham gia,14
nhóm,14
cảng,13
đặt,13
lên,13
mua bán,13
kinh tế,13
làm việc,13
đưa,13
thừa phát,13
sự nghiệp,13
trở lên,13
trẻ em,13
đường bộ,13
giao thông,13
học sinh,13
ô tô,13
mẫu giáo,13
lào,13
nuôi trồng,13
quốc tế,13
giấy tờ,13
đó,13
lữ hành,12
sổ,12
trước,12
xe máy,12
vì,12
thành lập trường,12
trọng,12
thời hạn,12
nông nghiệp,12
thành tích,12
giữa,12
tập trung,12
rượu,12
triển lãm,12
thuốc lá,12
ngân sách,12
nhưng,12
thiết bị,12
khiếu nại,12
kiểm tra,12
chuyên môn,12
kê,12
chống,12
văn hóa,12
hết,12
nhiều,12
dược,12
cha,12
đường thủy,12
việc làm,11
bồi thường,11
thưởng,11
diện tích,11
chủ sở hữu,11
bổ nhiệm,11
chương trình,11
báo cáo,11
đóng,11
xuất bản,11
riêng lẻ,11
mức,11
thông tư,11
dẫn,11
khuyết tật,11
cách mạng,11
bán buôn,11
gốc,11
pu,11
