token,frequency
giao,60
cơ quan,60
quản lý,60
quyết định,60
bản,59
hành nghề,59
nhập,59
trên,58
khám,58
công trình,58
trự,58
địa bàn,57
cho phép,56
tiếp,56
gia hạn,56
vào,56
dịch vụ,55
đại diện,55
xác nhận,54
số,54
huyện,54
chuyên,53
ban,53
lần,50
vốn,50
khu,49
khai thác,49
xe,49
bệnh,49
điểm,49
sửa,49
công bố,49
hưởng,47
trung tâm,47
luật,47
thuốc,47
thẩm định,47
công ty,46
chứng chỉ,46
liên,45
chấp thuận,45
sản xuất,45
hóa,45
sinh,45
công lập,45
trực thuộc,45
phương tiện,45
quy định,43
từ,43
thể thao,43
thứ,42
nội địa,42
tặng,42
duyệt,41
chia,41
tập,41
xã hội,41
hàng,41
gia đình,40
chế độ,40
bằng,39
chi nhánh,39
sở hữu,39
sửa đổi,39
bán lẻ,38
phê duyệt,38
thành phố,38
nhà ở,38
khoản,37
trung học,37
cả,37
hiệu,37
mua,37
chữa,37
hợp tác,36
chấm dứt,36
như,36
nhà nước,35
biển,35
giúp,35
bộ,35
tạo,35
khoa học,35
công nghệ,35
gắn,35
lượn,35
trung cấp,34
an toàn,34
xét,34
đơn,34
đề nghị,34
nghề nghiệp,34
nhân dân,34
đa,33
trợ cấp,33
sáp nhập,33
nuôi,33
giám định,33
liền,32
môn,32
thuê,32
trợ giúp,32
giải thể,32
tải,32
thủy sản,32
phổ thông,31
thông tin,31
để,31
vận tải,31
địa phương,31
phần,31
sự,31
trung ương,31
đến,31
hợp tác xã,30
địa điểm,30
tách,30
chất,30
trở,29
tín ngưỡng,29
ủy ban,29
dưới,29
rách,29
điện,29
ngành,29
tiếp nhận,28
nhất,28
chủ trương,28
trẻ,28
ưu đãi,28
tuyến,28
mất,28
hạng,27
kỹ thuật,27
đường,26
sản phẩm,26
đấu,26
môi trường,26
tranh,25
hình thức,25
hợp đồng,25
dù,25
nhà đầu tư,25
trạm,25
thục,25
mà,25
chuẩn,25
đào,24
bảo vệ,24
thu hồi,24
tư vấn,24
chiến,24
tư thục,24
dùng,24
năm,24
chủ tịch,24
đối tượng,24
hỏng,24
tự,23
tử,23
dưỡng,23
khách,23
mầm,23
thương mại,23
phạm vi,23
chuyển đổi,23
trách nhiệm,23
tiền,23
ảnh,23
chuyển nhượng,22
máy,22
ngày,22
kết quả,22
viên chức,22
đào tạo,22
mầm non,22
trung học phổ thông,21
cổ phần,21
khen,21
thành viên,21
du lịch,21
tên,21
mẫu,21
tuyển,21
nông,21
rồng,21
mạng,20
đánh giá,20
. hợp nhất,20
góp,20
trồng,20
hợp nhất,20
khoáng sản,20
mục đích,20
công nghiệp,20
đơn vị,20
đang,20
thương nhân,20
sau,20
con,20
thẻ,20
chứng thực,20
đạt,20
hội đồng,19
loại,19
bạo lực,19
sang,19
tổn,19
hư hỏng,19
cử,19
sách,19
pháp luật,19
lái,19
quỹ,19
kháng chiến,19
công chứng,19
hồ sơ,18
tháng,18
cộng đồng,18
phát triển,18
đô thị,18
quyền sở hữu,18
đoạn,18
xác định,18
phục vụ,18
tranh hoành tráng,17
trang,17
hòa,17
thương binh,17
hữu hạn,17
nđ-cp,17
giai đoạn,17
trụ sở,17
sao,17
nhiệm vụ,17
đấu giá,17
khu vực,17
tượng đài,17
văn bản,17
nghị định,17
phi,17
yếu tố,16
tạm,16
phải,16
bến,16
nạn nhân,16
quốc gia,16
quảng cáo,16
điện tử,16
động vật,16
mới,16
hành chính,16
xử lý,16
quy mô,16
đặc biệt,16
nhập khẩu,15
hợp danh,15
lpg,15
trở lại,15
nạp,15
hòa giải,15
tư nhân,15
nghiên cứu,15
yêu cầu,15
giấy khen,15
kinh phí,15
mỹ,15
tính,15
nơi,15
liên hiệp,15
sư,15
lái xe,15
liệt sĩ,15
chưa,15
cung cấp,15
nhu cầu,15
trung học cơ sở,14
nhóm,14
tham gia,14
hàng hóa,14
chăm sóc,14
thân nhân,14
tổng,14
riêng,14
trừ,14
tư pháp,14
trả,14
công dân,14
danh mục,14
bản sao,14
nguyên liệu,14
cao,14
chuyên dùng,14
đường bộ,13
lào,13
học sinh,13
ô tô,13
mẫu giáo,13
đó,13
nuôi trồng,13
quốc tế,13
giấy tờ,13
giao thông,13
kinh tế,13
trẻ em,13
sự nghiệp,13
thừa phát,13
đưa,13
làm việc,13
mua bán,13
lên,13
đặt,13
cảng,13
trở lên,13
chống,12
thiết bị,12
khiếu nại,12
kiểm tra,12
chuyên môn,12
kê,12
cha,12
văn hóa,12
hết,12
nhiều,12
dược,12
đường thủy,12
ngân sách,12
nhưng,12
tập trung,12
thuốc lá,12
trọng,12
triển lãm,12
trước,12
xe máy,12
vì,12
thành lập trường,12
sổ,12
thời hạn,12
thành tích,12
giữa,12
lữ hành,12
rượu,12
nông nghiệp,12
tự nguyện,11
bán buôn,11
gốc,11
pu,11
thăm dò,11
tàu,11
địa chỉ,11
hướng,11
giáo dục phổ thông,11
tiểu học,11
khai sinh,11
trực tiếp,11
cách mạng,11
khuyết tật,11
dẫn,11
bổ nhiệm,11
thông tư,11
việc làm,11
bồi thường,11
thưởng,11
chủ sở hữu,11
diện tích,11
chương trình,11
báo cáo,11
đóng,11
xuất bản,11
riêng lẻ,11
mức,11
thực phẩm,10
gồm,10
nổ,10
trọng tài,10
trò chơi,10
thỏa thuận,10
nguồn,10
thi công,10
dịch bệnh,10
hợp pháp,10
danh hiệu,10
đồng thời,10
phương án,10
giao dịch,10
liên quan,10
dầu,10
tnhh,10
campuchia,10
bồi dưỡng,10
trình độ,10
chức năng,10
liên kết,10
gây,10
ngừng,10
chất lượng,10
chuyên ngành,10
vật liệu,10
quốc lộ,10
thời gian,9
cây,9
đại dịch,9
covid-19,9
kê khai,9
mỹ phẩm,9
tt-byt,9
xăng,9
phong,9
suy cử,9
thay thế,9
tập sự,9
phân phối,9
giải trí,9
cư trú,9
công thương,9
hướng dẫn,9
lưu lượng,9
cửa,9
thư viện,9
chi phí,9
buôn bán,9
thường xuyên,9
tố cáo,9
so,9
mẹ,9
nghiện,9
động sản,9
làm thuốc,9
nông thôn,8
học tập,8
loại hình,8
pháp lý,8
con nuôi,8
nuôi dưỡng,8
ngày đêm,8
vị trí,8
mức độ,8
m3,8
vụ việc,8
thi hành,8
còn,8
tiêu chuẩn,8
cửa hàng,8
tiến hành,8
áp dụng,8
khó khăn,8
xuất bản phẩm,8
chẩn đoán,8
dân tộc,8
sức khỏe,8
xóa,8
thực vật,8
thủy lợi,8
thiết kế,8
phục hồi,8
kế hoạch,8
tốt,8
lương,8
lưu hành,8
chức việc,8
giá trị,8
lễ,7
luật sư,7
nhà trẻ,7
thông qua,7
đại học,7
hướng dẫn viên,7
hành khách,7
đáp ứng,7
chuyển giao,7
cùng,7
thi tuyển,7
lớp,7
đột xuất,7
hộ tịch,7
thất nghiệp,7
chức danh,7
thiệt hại,7
lỗi,7
x-quang,7
xung phong,7
